Date,Balance,D
01/29/2024,58159.81,
01/23/2024,60152.69,
01/22/2024,61152.69,
01/19/2024,61448.46,
01/16/2024,58275.76,
01/11/2024,59703.38,
01/09/2024,59667.39,
01/08/2024,61638.94,
01/05/2024,61728.94,
12/29/2023,57666.23,
12/27/2023,59650.54,
12/22/2023,59540.54,
12/20/2023,54395.89,
12/15/2023,54682.19,
12/14/2023,54663.74,
12/13/2023,38122.28,
12/08/2023,39581.34,
11/30/2023,33377.56,
11/28/2023,33367.05,
11/24/2023,35315.91,
11/20/2023,31308.39,
11/16/2023,31498.8,
11/14/2023,31455.81,
11/10/2023,32955.81,
11/08/2023,29436.33,
11/03/2023,29402.95,
11/02/2023,29423.87,
11/01/2023,29423.87,
11/04/2023,29402.95,
11/05/2023,29402.95,
11/06/2023,29402.95,
11/07/2023,29402.95,
11/09/2023,29436.33,
11/11/2023,32955.81,
11/12/2023,32955.81,
11/13/2023,32955.81,
11/15/2023,31455.81,
11/17/2023,31498.8,
11/18/2023,31498.8,
11/19/2023,31498.8,
11/21/2023,31308.39,
11/22/2023,31308.39,
11/23/2023,31308.39,
11/25/2023,35315.91,
11/26/2023,35315.91,
11/27/2023,35315.91,
11/29/2023,33367.05,
12/01/2023,33377.56,
12/02/2023,33377.56,
12/03/2023,33377.56,
12/04/2023,33377.56,
12/05/2023,33377.56,
12/06/2023,33377.56,
12/07/2023,33377.56,
12/09/2023,39581.34,
12/10/2023,39581.34,
12/11/2023,39581.34,
12/12/2023,39581.34,
12/16/2023,54682.19,
12/17/2023,54682.19,
12/18/2023,54682.19,
12/19/2023,54682.19,
12/21/2023,54395.89,
12/23/2023,59540.54,
12/24/2023,59540.54,
12/25/2023,59540.54,
12/26/2023,59540.54,
12/28/2023,59650.54,
12/30/2023,57666.23,
12/31/2023,57666.23,
01/01/2024,57666.23,
01/02/2024,57666.23,
01/03/2024,57666.23,
01/04/2024,57666.23,
01/06/2024,61728.94,
01/07/2024,61728.94,
01/10/2024,59667.39,
01/12/2024,59703.38,
01/13/2024,59703.38,
01/14/2024,59703.38,
01/15/2024,59703.38,
01/17/2024,58275.76,
01/18/2024,58275.76,
01/20/2024,61448.46,
01/21/2024,61448.46,
01/24/2024,60152.69,
01/25/2024,60152.69,
01/26/2024,60152.69,
01/27/2024,60152.69,
01/28/2024,60152.69,
01/30/2024,58159.81,
01/31/2024,58159.81,
